entity_id,state,last_changed
sensor.elmatare_diskmaskin_current,6.903,2025-05-18T14:44:03.388Z
sensor.elmatare_diskmaskin_current,6.907,2025-05-18T14:44:08.411Z
sensor.elmatare_diskmaskin_current,6.905,2025-05-18T14:44:13.334Z
sensor.elmatare_diskmaskin_current,6.885,2025-05-18T14:44:18.383Z
sensor.elmatare_diskmaskin_current,6.897,2025-05-18T14:44:23.369Z
sensor.elmatare_diskmaskin_current,6.895,2025-05-18T14:44:28.344Z
sensor.elmatare_diskmaskin_current,6.891,2025-05-18T14:44:33.404Z
sensor.elmatare_diskmaskin_current,6.892,2025-05-18T14:44:38.472Z
sensor.elmatare_diskmaskin_current,6.895,2025-05-18T14:44:43.375Z
sensor.elmatare_diskmaskin_current,6.904,2025-05-18T14:44:48.423Z
sensor.elmatare_diskmaskin_current,6.911,2025-05-18T14:44:58.392Z
sensor.elmatare_diskmaskin_current,6.895,2025-05-18T14:45:03.476Z
sensor.elmatare_diskmaskin_current,6.901,2025-05-18T14:45:08.401Z
sensor.elmatare_diskmaskin_current,6.894,2025-05-18T14:45:13.439Z
sensor.elmatare_diskmaskin_current,6.901,2025-05-18T14:45:18.479Z
sensor.elmatare_diskmaskin_current,6.916,2025-05-18T14:45:23.479Z
sensor.elmatare_diskmaskin_current,6.818,2025-05-18T14:45:28.574Z
sensor.elmatare_diskmaskin_current,6.87,2025-05-18T14:45:33.505Z
sensor.elmatare_diskmaskin_current,6.989,2025-05-18T14:45:38.498Z
sensor.elmatare_diskmaskin_current,6.988,2025-05-18T14:45:43.556Z
sensor.elmatare_diskmaskin_current,6.986,2025-05-18T14:45:48.511Z
sensor.elmatare_diskmaskin_current,6.987,2025-05-18T14:45:53.517Z
sensor.elmatare_diskmaskin_current,6.981,2025-05-18T14:45:58.567Z
sensor.elmatare_diskmaskin_current,6.991,2025-05-18T14:46:03.516Z
sensor.elmatare_diskmaskin_current,7.001,2025-05-18T14:46:08.556Z
sensor.elmatare_diskmaskin_current,7.003,2025-05-18T14:46:13.585Z
sensor.elmatare_diskmaskin_current,7.009,2025-05-18T14:46:18.579Z
sensor.elmatare_diskmaskin_current,7.014,2025-05-18T14:46:23.546Z
sensor.elmatare_diskmaskin_current,0.708,2025-05-18T14:46:28.547Z
sensor.elmatare_diskmaskin_current,10.265,2025-05-18T14:46:33.548Z
sensor.elmatare_diskmaskin_current,10.252,2025-05-18T14:46:38.691Z
sensor.elmatare_diskmaskin_current,10.249,2025-05-18T14:46:43.558Z
sensor.elmatare_diskmaskin_current,10.223,2025-05-18T14:46:48.558Z
sensor.elmatare_diskmaskin_current,10.24,2025-05-18T14:46:53.573Z
sensor.elmatare_diskmaskin_current,10.243,2025-05-18T14:46:58.560Z
sensor.elmatare_diskmaskin_current,10.232,2025-05-18T14:47:03.568Z
sensor.elmatare_diskmaskin_current,10.229,2025-05-18T14:47:08.565Z
sensor.elmatare_diskmaskin_current,10.219,2025-05-18T14:47:13.567Z
sensor.elmatare_diskmaskin_current,10.227,2025-05-18T14:47:18.564Z
sensor.elmatare_diskmaskin_current,10.213,2025-05-18T14:47:23.559Z
sensor.elmatare_diskmaskin_current,10.193,2025-05-18T14:47:28.564Z
sensor.elmatare_diskmaskin_current,9.913,2025-05-18T14:47:33.616Z
sensor.elmatare_diskmaskin_current,9.951,2025-05-18T14:47:38.631Z
sensor.elmatare_diskmaskin_current,10.122,2025-05-18T14:47:43.611Z
sensor.elmatare_diskmaskin_current,10.112,2025-05-18T14:47:48.687Z
sensor.elmatare_diskmaskin_current,10.109,2025-05-18T14:47:53.683Z
sensor.elmatare_diskmaskin_current,10.1,2025-05-18T14:47:58.682Z
sensor.elmatare_diskmaskin_current,10.101,2025-05-18T14:48:03.676Z
sensor.elmatare_diskmaskin_current,10.055,2025-05-18T14:48:08.681Z
sensor.elmatare_diskmaskin_current,10.056,2025-05-18T14:48:13.687Z
sensor.elmatare_diskmaskin_current,10.093,2025-05-18T14:48:18.693Z
sensor.elmatare_diskmaskin_current,10.071,2025-05-18T14:48:23.734Z
sensor.elmatare_diskmaskin_current,10.081,2025-05-18T14:48:28.830Z
sensor.elmatare_diskmaskin_current,10.068,2025-05-18T14:48:33.752Z
sensor.elmatare_diskmaskin_current,10.071,2025-05-18T14:48:38.767Z
sensor.elmatare_diskmaskin_current,10.061,2025-05-18T14:48:43.750Z
sensor.elmatare_diskmaskin_current,10.041,2025-05-18T14:48:48.753Z
sensor.elmatare_diskmaskin_current,10.054,2025-05-18T14:48:53.779Z
sensor.elmatare_diskmaskin_current,10.062,2025-05-18T14:48:58.753Z
sensor.elmatare_diskmaskin_current,10.052,2025-05-18T14:49:03.751Z
sensor.elmatare_diskmaskin_current,10.037,2025-05-18T14:49:08.765Z
sensor.elmatare_diskmaskin_current,10.026,2025-05-18T14:49:13.762Z
sensor.elmatare_diskmaskin_current,10.023,2025-05-18T14:49:18.758Z
sensor.elmatare_diskmaskin_current,10.038,2025-05-18T14:49:23.765Z
sensor.elmatare_diskmaskin_current,10.037,2025-05-18T14:49:28.760Z
sensor.elmatare_diskmaskin_current,10.03,2025-05-18T14:49:33.832Z
sensor.elmatare_diskmaskin_current,9.959,2025-05-18T14:49:38.816Z
sensor.elmatare_diskmaskin_current,9.823,2025-05-18T14:49:43.805Z
sensor.elmatare_diskmaskin_current,10.115,2025-05-18T14:49:48.867Z
sensor.elmatare_diskmaskin_current,10.097,2025-05-18T14:49:53.840Z
sensor.elmatare_diskmaskin_current,10.099,2025-05-18T14:49:58.841Z
sensor.elmatare_diskmaskin_current,10.088,2025-05-18T14:50:03.846Z
sensor.elmatare_diskmaskin_current,10.073,2025-05-18T14:50:08.882Z
sensor.elmatare_diskmaskin_current,10.086,2025-05-18T14:50:13.839Z
sensor.elmatare_diskmaskin_current,10.084,2025-05-18T14:50:18.889Z
sensor.elmatare_diskmaskin_current,10.09,2025-05-18T14:50:23.800Z
sensor.elmatare_diskmaskin_current,10.083,2025-05-18T14:50:28.805Z
sensor.elmatare_diskmaskin_current,10.056,2025-05-18T14:50:33.841Z
sensor.elmatare_diskmaskin_current,10.06,2025-05-18T14:50:38.837Z
sensor.elmatare_diskmaskin_current,10.062,2025-05-18T14:50:43.850Z
sensor.elmatare_diskmaskin_current,10.066,2025-05-18T14:50:48.864Z
sensor.elmatare_diskmaskin_current,10.051,2025-05-18T14:50:53.857Z
sensor.elmatare_diskmaskin_current,10.041,2025-05-18T14:50:58.872Z
sensor.elmatare_diskmaskin_current,10.047,2025-05-18T14:51:03.867Z
sensor.elmatare_diskmaskin_current,10.035,2025-05-18T14:51:13.883Z
sensor.elmatare_diskmaskin_current,10.033,2025-05-18T14:51:18.884Z
sensor.elmatare_diskmaskin_current,10.017,2025-05-18T14:51:23.879Z
sensor.elmatare_diskmaskin_current,10.01,2025-05-18T14:51:28.890Z
sensor.elmatare_diskmaskin_current,10.021,2025-05-18T14:51:33.895Z
sensor.elmatare_diskmaskin_current,10.015,2025-05-18T14:51:38.907Z
sensor.elmatare_diskmaskin_current,10.006,2025-05-18T14:51:43.889Z
sensor.elmatare_diskmaskin_current,9.712,2025-05-18T14:51:48.901Z
sensor.elmatare_diskmaskin_current,9.927,2025-05-18T14:51:53.956Z
sensor.elmatare_diskmaskin_current,9.934,2025-05-18T14:51:58.900Z
sensor.elmatare_diskmaskin_current,9.921,2025-05-18T14:52:03.897Z
sensor.elmatare_diskmaskin_current,9.889,2025-05-18T14:52:08.910Z
sensor.elmatare_diskmaskin_current,9.88,2025-05-18T14:52:13.910Z
sensor.elmatare_diskmaskin_current,9.899,2025-05-18T14:52:18.909Z
sensor.elmatare_diskmaskin_current,9.911,2025-05-18T14:52:24.023Z
sensor.elmatare_diskmaskin_current,9.898,2025-05-18T14:52:28.963Z
sensor.elmatare_diskmaskin_current,9.897,2025-05-18T14:52:34.066Z
sensor.elmatare_diskmaskin_current,9.89,2025-05-18T14:52:39.012Z
sensor.elmatare_diskmaskin_current,9.888,2025-05-18T14:52:44.014Z
sensor.elmatare_diskmaskin_current,9.878,2025-05-18T14:52:49.067Z
sensor.elmatare_diskmaskin_current,9.876,2025-05-18T14:52:54.062Z
sensor.elmatare_diskmaskin_current,9.881,2025-05-18T14:52:59.046Z
sensor.elmatare_diskmaskin_current,9.885,2025-05-18T14:53:04.080Z
sensor.elmatare_diskmaskin_current,9.887,2025-05-18T14:53:09.050Z
sensor.elmatare_diskmaskin_current,9.854,2025-05-18T14:53:14.099Z
sensor.elmatare_diskmaskin_current,9.865,2025-05-18T14:53:19.117Z
sensor.elmatare_diskmaskin_current,9.863,2025-05-18T14:53:24.049Z
sensor.elmatare_diskmaskin_current,9.866,2025-05-18T14:53:29.069Z
sensor.elmatare_diskmaskin_current,9.857,2025-05-18T14:53:34.057Z
sensor.elmatare_diskmaskin_current,9.856,2025-05-18T14:53:39.057Z
sensor.elmatare_diskmaskin_current,9.87,2025-05-18T14:53:44.121Z
sensor.elmatare_diskmaskin_current,9.869,2025-05-18T14:53:49.060Z
sensor.elmatare_diskmaskin_current,9.67,2025-05-18T14:53:54.111Z
sensor.elmatare_diskmaskin_current,9.647,2025-05-18T14:53:59.101Z
sensor.elmatare_diskmaskin_current,9.919,2025-05-18T14:54:04.068Z
sensor.elmatare_diskmaskin_current,9.924,2025-05-18T14:54:09.103Z
sensor.elmatare_diskmaskin_current,9.902,2025-05-18T14:54:14.156Z
sensor.elmatare_diskmaskin_current,9.908,2025-05-18T14:54:19.086Z
sensor.elmatare_diskmaskin_current,9.926,2025-05-18T14:54:24.052Z
sensor.elmatare_diskmaskin_current,9.911,2025-05-18T14:54:29.057Z
sensor.elmatare_diskmaskin_current,9.9,2025-05-18T14:54:34.061Z
sensor.elmatare_diskmaskin_current,9.903,2025-05-18T14:54:39.063Z
sensor.elmatare_diskmaskin_current,9.893,2025-05-18T14:54:44.071Z
sensor.elmatare_diskmaskin_current,9.894,2025-05-18T14:54:49.077Z
sensor.elmatare_diskmaskin_current,9.584,2025-05-18T14:54:54.070Z
sensor.elmatare_diskmaskin_current,9.613,2025-05-18T14:54:59.072Z
sensor.elmatare_diskmaskin_current,9.63,2025-05-18T14:55:04.072Z
sensor.elmatare_diskmaskin_current,9.873,2025-05-18T14:55:09.225Z
sensor.elmatare_diskmaskin_current,9.857,2025-05-18T14:55:14.180Z
sensor.elmatare_diskmaskin_current,9.881,2025-05-18T14:55:19.199Z
sensor.elmatare_diskmaskin_current,9.871,2025-05-18T14:55:24.196Z
sensor.elmatare_diskmaskin_current,9.846,2025-05-18T14:55:29.205Z
sensor.elmatare_diskmaskin_current,9.84,2025-05-18T14:55:34.224Z
sensor.elmatare_diskmaskin_current,9.835,2025-05-18T14:55:39.221Z
sensor.elmatare_diskmaskin_current,9.855,2025-05-18T14:55:44.218Z
sensor.elmatare_diskmaskin_current,9.851,2025-05-18T14:55:49.339Z
sensor.elmatare_diskmaskin_current,9.863,2025-05-18T14:55:54.231Z
sensor.elmatare_diskmaskin_current,9.845,2025-05-18T14:55:59.285Z
sensor.elmatare_diskmaskin_current,9.842,2025-05-18T14:56:04.228Z
sensor.elmatare_diskmaskin_current,9.823,2025-05-18T14:56:09.235Z
sensor.elmatare_diskmaskin_current,9.819,2025-05-18T14:56:14.235Z
sensor.elmatare_diskmaskin_current,9.833,2025-05-18T14:56:19.244Z
sensor.elmatare_diskmaskin_current,9.819,2025-05-18T14:56:24.288Z
sensor.elmatare_diskmaskin_current,9.838,2025-05-18T14:56:29.330Z
sensor.elmatare_diskmaskin_current,9.842,2025-05-18T14:56:34.346Z
sensor.elmatare_diskmaskin_current,9.82,2025-05-18T14:56:39.302Z
sensor.elmatare_diskmaskin_current,9.815,2025-05-18T14:56:44.408Z
sensor.elmatare_diskmaskin_current,9.808,2025-05-18T14:56:49.340Z
sensor.elmatare_diskmaskin_current,9.813,2025-05-18T14:56:54.371Z
sensor.elmatare_diskmaskin_current,9.794,2025-05-18T14:56:59.397Z
sensor.elmatare_diskmaskin_current,9.792,2025-05-18T14:57:04.349Z
sensor.elmatare_diskmaskin_current,9.79,2025-05-18T14:57:09.374Z
sensor.elmatare_diskmaskin_current,0.291,2025-05-18T14:57:14.395Z
sensor.elmatare_diskmaskin_current,0.262,2025-05-18T14:57:19.361Z
sensor.elmatare_diskmaskin_current,0.545,2025-05-18T14:57:24.412Z
sensor.elmatare_diskmaskin_current,0.543,2025-05-18T14:57:29.409Z
sensor.elmatare_diskmaskin_current,0.544,2025-05-18T14:57:34.382Z
sensor.elmatare_diskmaskin_current,0.54,2025-05-18T14:57:39.467Z
sensor.elmatare_diskmaskin_current,0.541,2025-05-18T14:57:44.462Z
sensor.elmatare_diskmaskin_current,0.54,2025-05-18T14:57:49.416Z
sensor.elmatare_diskmaskin_current,0.544,2025-05-18T14:58:04.414Z
sensor.elmatare_diskmaskin_current,0.541,2025-05-18T14:58:14.407Z
sensor.elmatare_diskmaskin_current,0.544,2025-05-18T14:58:19.418Z
sensor.elmatare_diskmaskin_current,0.543,2025-05-18T14:58:24.363Z
sensor.elmatare_diskmaskin_current,0.54,2025-05-18T14:58:29.353Z
sensor.elmatare_diskmaskin_current,0.538,2025-05-18T14:58:34.361Z
sensor.elmatare_diskmaskin_current,0.54,2025-05-18T14:58:39.370Z
sensor.elmatare_diskmaskin_current,0.536,2025-05-18T14:58:44.406Z
sensor.elmatare_diskmaskin_current,0.533,2025-05-18T14:58:49.421Z
sensor.elmatare_diskmaskin_current,0.536,2025-05-18T14:58:54.416Z
sensor.elmatare_diskmaskin_current,0.537,2025-05-18T14:58:59.429Z
sensor.elmatare_diskmaskin_current,0.535,2025-05-18T14:59:04.421Z
sensor.elmatare_diskmaskin_current,0.537,2025-05-18T14:59:09.416Z
sensor.elmatare_diskmaskin_current,0.535,2025-05-18T14:59:14.477Z
sensor.elmatare_diskmaskin_current,0.538,2025-05-18T14:59:19.480Z
sensor.elmatare_diskmaskin_current,0.259,2025-05-18T14:59:24.532Z
sensor.elmatare_diskmaskin_current,0.652,2025-05-18T14:59:29.475Z
sensor.elmatare_diskmaskin_current,0.659,2025-05-18T14:59:39.647Z
sensor.elmatare_diskmaskin_current,0.66,2025-05-18T14:59:44.508Z
sensor.elmatare_diskmaskin_current,0.661,2025-05-18T14:59:49.505Z
sensor.elmatare_diskmaskin_current,0.662,2025-05-18T14:59:54.522Z
sensor.elmatare_diskmaskin_current,0.663,2025-05-18T15:00:04.525Z
sensor.elmatare_diskmaskin_current,0.664,2025-05-18T15:00:09.515Z
sensor.elmatare_diskmaskin_current,0.667,2025-05-18T15:00:14.523Z
sensor.elmatare_diskmaskin_current,0.666,2025-05-18T15:00:19.643Z
sensor.elmatare_diskmaskin_current,0.667,2025-05-18T15:00:24.636Z
sensor.elmatare_diskmaskin_current,0.666,2025-05-18T15:00:29.623Z
sensor.elmatare_diskmaskin_current,0.671,2025-05-18T15:00:34.667Z
sensor.elmatare_diskmaskin_current,0.67,2025-05-18T15:00:39.641Z
sensor.elmatare_diskmaskin_current,0.671,2025-05-18T15:00:44.639Z
