entity_id,state,last_changed
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:49:26.882Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:49:41.927Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:49:51.965Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:49:56.980Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:50:01.967Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:50:06.969Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:50:17.016Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:50:33.390Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:50:38.397Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:50:48.447Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:50:53.399Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:50:58.393Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:51:03.438Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:51:13.431Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:51:18.495Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:51:28.427Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:51:33.425Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:51:38.420Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:51:48.418Z
sensor.elmatare_diskmaskin_current,0.209,2025-05-20T16:52:03.454Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:52:13.498Z
sensor.elmatare_diskmaskin_current,0.209,2025-05-20T16:52:18.505Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:52:23.534Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:52:28.514Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:52:33.497Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:52:38.541Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:52:43.541Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:52:48.607Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:52:53.532Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:52:58.541Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:53:03.586Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:53:13.636Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:53:18.652Z
sensor.elmatare_diskmaskin_current,0.205,2025-05-20T16:53:28.696Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:53:33.687Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:53:38.690Z
sensor.elmatare_diskmaskin_current,0.21,2025-05-20T16:53:53.733Z
sensor.elmatare_diskmaskin_current,0.211,2025-05-20T16:54:03.724Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:54:13.774Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:54:18.729Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:54:23.789Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:54:28.831Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:54:33.831Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:54:38.924Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:54:43.853Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:54:48.857Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:54:53.965Z
sensor.elmatare_diskmaskin_current,0.211,2025-05-20T16:55:08.806Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:55:13.806Z
sensor.elmatare_diskmaskin_current,0.206,2025-05-20T16:55:18.808Z
sensor.elmatare_diskmaskin_current,0.207,2025-05-20T16:55:23.812Z
sensor.elmatare_diskmaskin_current,0.208,2025-05-20T16:55:28.809Z
sensor.elmatare_diskmaskin_current,0.209,2025-05-20T16:55:33.836Z
sensor.elmatare_diskmaskin_current,0.227,2025-05-20T16:55:38.840Z
sensor.elmatare_diskmaskin_current,0.224,2025-05-20T16:55:43.840Z
sensor.elmatare_diskmaskin_current,0.225,2025-05-20T16:55:48.866Z
sensor.elmatare_diskmaskin_current,0.222,2025-05-20T16:55:58.883Z
sensor.elmatare_diskmaskin_current,0.223,2025-05-20T16:56:08.879Z
sensor.elmatare_diskmaskin_current,0.222,2025-05-20T16:56:13.875Z
sensor.elmatare_diskmaskin_current,0.223,2025-05-20T16:56:28.916Z
sensor.elmatare_diskmaskin_current,0.224,2025-05-20T16:56:48.961Z
